,ball skills,physical,postions_Player,defence,mental,shooting,passing,hight,wight,age,value
Wesley,74.0,64.71428571428571,ST,36.0,69.5,69.375,66.0,191,93,24,11000000
Dodi Lukébakio,80.5,74.28571428571429,ST,30.0,58.0,69.125,67.0,187,77,24,11500000
Borja Mayoral,78.5,73.14285714285714,ST,34.5,65.33333333333333,71.25,68.0,182,74,24,11500000
Ché Adams,74.0,78.71428571428571,ST,37.5,65.66666666666667,70.125,59.333333333333336,178,70,25,11500000
Denis Bouanga,0.0,74.57142857142857,ST,36.0,41.333333333333336,63.5,43.666666666666664,180,70,26,
Stephy Mavididi,76.5,75.42857142857143,ST,22.5,58.333333333333336,63.75,68.66666666666667,182,71,23,11500000
Peter Olayinka,75.5,79.28571428571429,ST,55.5,70.83333333333333,68.75,69.33333333333333,188,77,25,9500000
Emmanuel Boateng,72.5,86.14285714285714,ST,35.5,63.333333333333336,66.875,56.333333333333336,175,70,25,10500000
Omar Al Somah,73.5,70.42857142857143,ST,32.0,67.16666666666667,76.625,67.66666666666667,190,86,32,6000000
Krzysztof Piątek,72.5,72.57142857142857,ST,33.5,61.333333333333336,68.75,50.0,183,77,26,10000000
Adam Armstrong,74.0,83.42857142857143,ST,29.5,69.33333333333333,71.0,63.333333333333336,172,69,24,12000000
Alfredo Morelos,74.5,79.0,ST,42.5,68.83333333333333,69.75,64.33333333333333,177,79,25,11000000
Juan Dinenno,70.5,68.14285714285714,ST,20.0,60.0,60.875,54.0,186,83,27,
Islam Slimani,72.0,61.285714285714285,ST,45.0,74.5,72.375,73.33333333333333,188,83,33,4800000
Moses Simon,0.0,85.42857142857143,ST,30.0,47.666666666666664,54.375,0.0,168,69,26,
Alexander Sørloth,72.5,72.28571428571429,ST,31.0,68.33333333333333,71.625,64.0,194,90,25,10000000
Keita Baldé,79.5,80.0,ST,23.0,63.0,68.75,70.66666666666667,184,77,26,10000000
Aleksandar Mitrović,71.0,61.285714285714285,ST,24.5,53.333333333333336,49.875,48.333333333333336,189,90,27,
Andrea Petagna,79.0,70.71428571428571,ST,33.5,64.16666666666667,68.5,66.66666666666667,190,85,26,10000000
Bruno Petković,84.0,73.71428571428571,ST,40.0,60.333333333333336,75.25,71.66666666666667,193,88,27,9000000
Silvio Romero,77.5,52.285714285714285,ST,43.5,69.16666666666667,72.125,0.0,177,76,33,6000000
Divock Origi,76.5,73.57142857142857,ST,20.0,66.0,66.125,67.0,189,90,26,10000000
Hwang Ui Jo,74.5,75.0,ST,37.5,66.0,71.75,62.0,185,82,29,7500000
Jamie Maclaren,70.5,82.14285714285714,ST,28.5,70.5,71.375,60.333333333333336,179,76,28,8000000
Ivan Toney,70.5,80.14285714285714,ST,43.0,70.83333333333333,71.125,57.333333333333336,187,70,25,10500000
Munas Dabbur,76.5,75.57142857142857,ST,29.5,60.0,72.375,61.666666666666664,183,78,29,7500000
Nicolas López,79.0,74.85714285714286,ST,19.5,59.166666666666664,71.375,69.33333333333333,178,75,28,8000000
Joel Campbell,77.0,77.28571428571429,ST,36.0,67.66666666666667,71.125,73.33333333333333,178,78,29,7500000
Michy Batshuayi,76.5,73.85714285714286,ST,31.5,64.16666666666667,70.25,55.0,185,78,28,8000000
M'Baye Niang,76.0,72.57142857142857,ST,27.0,61.833333333333336,73.75,64.0,188,83,26,10000000
Simone Nevitt,75.0,77.28571428571429,ST,47.0,70.5,72.75,54.666666666666664,186,78,30,7500000
Nathan Redmond,80.5,71.28571428571429,ST,29.5,59.5,63.375,68.33333333333333,173,69,27,8000000
Giovanni Moreno,76.0,76.57142857142857,ST,51.0,71.0,76.375,70.66666666666667,192,83,35,3200000
Andriy Cardoso Mané,80.5,58.714285714285715,ST,36.0,72.66666666666667,77.875,76.33333333333333,190,83,31,6000000
